Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
22-Mar-24,EQ,"1,262.45","1,289.10","1,255.05","1,262.45","1,276.70","1,281.60","1,276.74","1,356.55",571.55,"30,76,926","3,92,84,36,787.05","90,748"
21-Mar-24,EQ,"1,260.00","1,268.70","1,251.30","1,245.40","1,263.85","1,262.45","1,261.85","1,356.55",571.55,"31,55,563","3,98,18,39,707.25","1,16,819"
20-Mar-24,EQ,"1,248.00","1,252.95","1,230.20","1,241.20","1,243.25","1,245.40","1,243.29","1,356.55",571.55,"27,72,098","3,44,65,20,539.65","1,09,583"
19-Mar-24,EQ,"1,271.05","1,272.85","1,237.25","1,266.60","1,241.70","1,241.20","1,251.72","1,356.55",571.55,"23,11,324","2,89,31,21,478.10","85,705"
18-Mar-24,EQ,"1,250.00","1,270.05","1,227.25","1,283.00","1,265.45","1,266.60","1,251.32","1,356.55",571.55,"48,58,444","6,07,94,67,325.85","1,44,797"
15-Mar-24,EQ,"1,273.80","1,288.85","1,256.65","1,267.85","1,283.95","1,283.00","1,275.73","1,356.55",571.55,"40,24,586","5,13,43,02,544.30","1,15,530"
14-Mar-24,EQ,"1,210.00","1,276.00","1,195.70","1,209.55","1,268.00","1,267.85","1,252.26","1,356.55",571.55,"71,95,603","9,01,07,57,059.45","2,52,058"
13-Mar-24,EQ,"1,307.00","1,308.00","1,188.10","1,301.30","1,217.05","1,209.55","1,231.08","1,356.55",571.55,"86,70,336","10,67,38,87,656.45","2,93,958"
12-Mar-24,EQ,"1,335.00","1,346.95","1,293.45","1,326.95","1,298.80","1,301.30","1,321.23","1,356.55",571.55,"31,39,768","4,14,83,58,308.30","1,21,158"
11-Mar-24,EQ,"1,331.00","1,342.35","1,322.05","1,325.45","1,326.45","1,326.95","1,332.35","1,356.55",571.55,"22,17,673","2,95,47,20,776.90","74,486"
7-Mar-24,EQ,"1,329.80","1,335.35","1,315.00","1,324.80","1,329.55","1,325.45","1,325.83","1,356.55",571.55,"16,40,786","2,17,54,02,991.20","68,678"
6-Mar-24,EQ,"1,342.70","1,344.60","1,304.00","1,338.30","1,325.90","1,324.80","1,321.36","1,356.55",571.55,"27,58,443","3,64,49,08,759.05","95,619"
5-Mar-24,EQ,"1,344.05","1,354.95","1,334.00","1,342.60","1,341.35","1,338.30","1,343.04","1,356.55",571.55,"18,15,438","2,43,81,98,156.85","84,855"
4-Mar-24,EQ,"1,345.25","1,356.55","1,336.40","1,338.30","1,342.00","1,342.60","1,346.15","1,356.55",571.55,"21,70,214","2,92,14,37,587.95","72,124"
2-Mar-24,EQ,"1,326.90","1,346.90","1,325.00","1,322.10","1,336.15","1,338.30","1,337.34","1,349.00",551.95,"3,86,697","51,71,46,854.60","14,243"
1-Mar-24,EQ,"1,335.00","1,349.00","1,312.40","1,320.50","1,324.70","1,322.10","1,327.28","1,349.00",551.95,"33,01,090","4,38,14,61,597.80","83,641"
29-Feb-24,EQ,"1,300.00","1,329.90","1,293.05","1,299.50","1,328.00","1,320.50","1,313.10","1,343.00",551.95,"26,72,239","3,50,89,23,643.30","94,344"
28-Feb-24,EQ,"1,334.50","1,334.90","1,295.15","1,329.45","1,296.00","1,299.50","1,311.70","1,343.00",551.95,"21,21,625","2,78,29,26,736.15","90,788"
27-Feb-24,EQ,"1,336.85","1,339.20","1,314.25","1,338.15","1,332.45","1,329.45","1,327.63","1,343.00",551.95,"21,97,456","2,91,74,17,550.15","59,525"
26-Feb-24,EQ,"1,320.00","1,343.00","1,316.75","1,320.70","1,335.00","1,338.15","1,333.93","1,343.00",551.95,"28,02,425","3,73,82,39,344.70","1,04,817"
23-Feb-24,EQ,"1,312.05","1,332.00","1,298.00","1,310.95","1,320.70","1,320.70","1,318.21","1,332.00",533.65,"29,24,829","3,85,55,26,065.60","87,260"
22-Feb-24,EQ,"1,296.00","1,317.00","1,281.00","1,291.00","1,310.10","1,310.95","1,296.45","1,327.00",533.65,"25,56,009","3,31,37,44,829.45","1,10,801"
21-Feb-24,EQ,"1,304.80","1,315.00","1,281.45","1,300.50","1,290.00","1,291.00","1,301.16","1,327.00",533.65,"27,70,510","3,60,48,63,684.45","83,664"
20-Feb-24,EQ,"1,311.00","1,312.90","1,293.70","1,307.00","1,302.80","1,300.50","1,303.28","1,327.00",533.65,"18,56,718","2,41,98,25,350.60","60,202"
19-Feb-24,EQ,"1,313.40","1,327.00","1,302.15","1,306.85","1,311.00","1,307.00","1,314.36","1,327.00",533.65,"27,00,240","3,54,90,92,442.65","74,031"
16-Feb-24,EQ,"1,269.80","1,311.00","1,265.55","1,267.05","1,310.10","1,306.85","1,293.70","1,311.00",533.65,"54,76,230","7,08,45,91,726.70","1,45,190"
15-Feb-24,EQ,"1,275.00","1,277.55","1,262.10","1,267.85","1,266.20","1,267.05","1,268.77","1,291.25",533.65,"33,82,824","4,29,20,37,693.90","1,05,127"
14-Feb-24,EQ,"1,261.95","1,281.55","1,248.65","1,264.80","1,268.00","1,267.85","1,268.31","1,291.25",533.65,"33,82,943","4,29,06,28,559.15","97,164"
13-Feb-24,EQ,"1,249.95","1,271.00","1,226.65","1,249.35","1,270.95","1,264.80","1,250.88","1,291.25",533.65,"22,45,009","2,80,82,31,574.05","73,236"
12-Feb-24,EQ,"1,278.00","1,279.75","1,243.90","1,271.50","1,249.85","1,249.35","1,260.39","1,291.25",533.65,"22,04,823","2,77,89,29,991.85","85,899"
9-Feb-24,EQ,"1,252.60","1,275.50","1,232.10","1,245.20","1,272.40","1,271.50","1,257.33","1,291.25",476.7,"35,38,164","4,44,86,22,470.75","1,00,476"
8-Feb-24,EQ,"1,264.05","1,264.50","1,236.75","1,255.65","1,247.80","1,245.20","1,250.42","1,291.25",476.7,"33,54,609","4,19,46,75,869.65","1,43,707"
7-Feb-24,EQ,"1,280.00","1,286.35","1,252.15","1,273.10","1,256.25","1,255.65","1,267.25","1,291.25",476.7,"33,59,763","4,25,76,51,048.10","96,611"
6-Feb-24,EQ,"1,266.00","1,284.60","1,248.85","1,258.55","1,274.00","1,273.10","1,270.91","1,291.25",476.7,"44,08,002","5,60,21,73,026.50","1,35,542"
5-Feb-24,EQ,"1,269.50","1,291.25","1,248.85","1,261.45","1,262.00","1,258.55","1,271.71","1,291.25",476.7,"56,11,298","7,13,59,17,796.10","1,85,622"
2-Feb-24,EQ,"1,233.05","1,287.50","1,231.70","1,218.85","1,262.50","1,261.45","1,269.53","1,287.50",395.1,"1,04,50,227","13,26,68,96,482.40","2,69,789"
1-Feb-24,EQ,"1,213.60","1,239.50","1,200.30","1,207.65","1,220.75","1,218.85","1,220.91","1,239.50",395.1,"74,33,628","9,07,57,85,518.30","2,74,275"
31-Jan-24,EQ,"1,195.80","1,214.25","1,191.65","1,187.35","1,206.00","1,207.65","1,205.24","1,229.90",395.1,"55,10,242","6,64,11,41,121.85","1,49,969"
